angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"[561, 247, 185, 239]",,0.0,,0.01,,0.01,,0.96,,0.01,,0.0,
0.02,,"[561, 246, 185, 241]",,0.0,,0.01,,0.0,,0.94,,0.03,,0.0,
0.01,,"[563, 246, 183, 240]",,0.0,,0.01,,0.01,,0.95,,0.02,,0.0,
0.01,,"[561, 247, 184, 238]",,0.0,,0.01,,0.01,,0.96,,0.01,,0.0,
0.03,,"[560, 246, 187, 243]",,0.0,,0.01,,0.0,,0.87,,0.09,,0.0,
0.02,,"[561, 246, 185, 242]",,0.0,,0.01,,0.0,,0.91,,0.06,,0.0,
0.01,,"[561, 245, 186, 241]",,0.0,,0.01,,0.01,,0.94,,0.03,,0.0,
0.01,,"[561, 247, 185, 237]",,0.0,,0.01,,0.0,,0.96,,0.02,,0.0,
0.02,,"[559, 246, 186, 241]",,0.0,,0.01,,0.0,,0.95,,0.02,,0.0,
0.01,,"[560, 247, 184, 239]",,0.0,,0.0,,0.01,,0.97,,0.01,,0.0,
0.02,,"[559, 246, 186, 241]",,0.0,,0.01,,0.0,,0.95,,0.02,,0.0,
0.02,,"[560, 246, 185, 241]",,0.0,,0.01,,0.0,,0.95,,0.02,,0.0,
0.02,,"[559, 246, 187, 243]",,0.0,,0.01,,0.0,,0.94,,0.03,,0.0,
0.02,,"[561, 246, 184, 241]",,0.0,,0.01,,0.0,,0.93,,0.03,,0.0,
0.02,,"[559, 246, 187, 241]",,0.0,,0.01,,0.0,,0.95,,0.02,,0.0,
0.01,,"[559, 246, 186, 241]",,0.0,,0.01,,0.0,,0.96,,0.02,,0.0,
0.02,,"[560, 245, 186, 242]",,0.0,,0.02,,0.0,,0.93,,0.04,,0.0,
0.02,,"[560, 245, 185, 242]",,0.0,,0.01,,0.0,,0.92,,0.04,,0.0,
0.02,,"[560, 246, 185, 241]",,0.0,,0.01,,0.0,,0.96,,0.02,,0.0,
0.02,,"[560, 246, 185, 241]",,0.0,,0.01,,0.0,,0.95,,0.02,,0.0,
0.02,,"[562, 247, 183, 240]",,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.02,,"[563, 248, 182, 239]",,0.0,,0.02,,0.0,,0.91,,0.05,,0.0,
0.02,,"[563, 248, 182, 239]",,0.0,,0.01,,0.0,,0.92,,0.04,,0.0,
0.01,,"[562, 248, 183, 237]",,0.0,,0.01,,0.0,,0.97,,0.01,,0.0,
0.02,,"[563, 247, 183, 239]",,0.0,,0.01,,0.0,,0.95,,0.02,,0.0,
